,Atlanta,Bellevue,Chicago,Dallas,Denver,Indianapolis,New York,San Francisco,Seattle,The Ranch,postal_code,state,latitude,longitude
974,0.125360438,0.66928804,0.204801134,0.385398928,0.456728382,0.180420938,0.004773935,0.716661156,0.669289083,0.715738695,11530-1421,New York,40.72842999,-73.65783997
975,0.126471207,0.66844282,0.204601213,0.386518873,0.456789326,0.180746418,0.005567782,0.716543258,0.668443862,0.715679913,11542,New York,40.8638194,-73.62897
976,0.125480204,0.669894561,0.20536091,0.385755258,0.457258274,0.180918044,0.005304146,0.717211033,0.669895604,0.716282107,11550,New York,40.708183,-73.6247895
977,0.125281699,0.669651039,0.205069347,0.385421667,0.456951489,0.180600215,0.005003577,0.716913637,0.669652082,0.715981389,11552,New York,40.703655,-73.646945
978,0.126803199,0.668706634,0.204973353,0.387029042,0.457195781,0.181186734,0.00609096,0.71692505,0.668707676,0.716069916,11560,New York,40.878665,-73.59804
979,0.124503331,0.670630804,0.205549655,0.384763712,0.457199433,0.18064804,0.005798371,0.717304425,0.670631847,0.716323326,11561,New York,40.58875,-73.65149
980,0.124794179,0.669703098,0.204897992,0.384821374,0.456685798,0.180253287,0.004873225,0.716706889,0.669704141,0.715754476,11563,New York,40.65998,-73.673585
981,0.125708584,0.671237083,0.206583193,0.386494853,0.45840653,0.181989286,0.006517113,0.718407777,0.671238126,0.717462974,11566,New York,40.659915,-73.554115
982,0.125903713,0.66945655,0.205185225,0.386144156,0.457194859,0.180962009,0.005320496,0.71707368,0.669457593,0.716169489,11568,New York,40.76575,-73.61854
983,0.125007768,0.670083052,0.205309837,0.385219823,0.457104152,0.180673458,0.005271758,0.717121778,0.670084096,0.716170753,11570,New York,40.658905,-73.64474
984,0.12492903,0.670320247,0.205473987,0.385199586,0.457232696,0.18077037,0.005479053,0.717272407,0.67032129,0.71631388,11572,New York,40.640335,-73.63933
985,0.125787295,0.668601337,0.204420396,0.385706873,0.456479865,0.180304008,0.004754271,0.716324075,0.66860238,0.715430992,11576,New York,40.798505,-73.66226
986,0.125792626,0.668874742,0.204650497,0.385806446,0.456688578,0.180489017,0.004891692,0.716547609,0.668875785,0.71564973,11577,New York,40.785375,-73.65014
987,0.124591221,0.669143961,0.204340525,0.384375731,0.45613943,0.179721551,0.004310778,0.716152925,0.669145004,0.71520284,11580,New York,40.670895,-73.70947
